LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0000002155-0001-2,GARY L MAXWELL FOUNDATION,G L M AUTO SALES,4704 CRENSHAW BLVD,LOS ANGELES,90043-1232,4704 CRENSHAW 90043-1232,,,,,,8,10/15/2000,12/31/2006,
0000002160-0001-3,WIWORN SAENGWISIT,,2608 1/2 W SUNSET BLVD,LOS ANGELES,90026-,2608 SUNSET 90026,,,,,,13,01/30/1992,07/20/2001,
0000002198-0001-1,ENRIQUE VARGAS,,6517 CRAFTON AVENUE,BELL,90201-,6517 CRAFTON 90201,,,,,,0,02/13/1997,11/01/2004,
0000002212-0004-7,LOYOLA MARYMOUNT UNIVERSITY,,7900 LOYOLA BLVD,LOS ANGELES,90045-,7900 LOYOLA 90045,,,,,,11,06/11/1971,01/31/2004,
0000002287-0001-1,"BOX & SHIP,INC",,8172 W SUNSET BLVD,LOS ANGELES,90046-,8172 SUNSET 90046,,,,,,0,04/01/1990,11/13/1995,
0000002289-0001-0,CORRIDOR ECONOMIC DEVELOPMENT CORPORATION,,602 W 81ST STREET,LOS ANGELES,90044-5967,602 81ST 90044,,,,,,8,02/01/2000,12/31/2004,
0000002305-0001-1,CORRIDOR ECONOMIC DEVELOPMENT CORPORATION,,10217 S BROADWAY,LOS ANGELES,90003-4562,10217 BROADWAY 90003-4562,,,,,,8,02/01/2000,12/31/2004,
0000002330-0001-9,JOHN H BRADY,,9401 HILDRETH AVENUE,SOUTH GATE,90280-,9401 HILDRETH 90280,,,,,,0,01/01/1974,11/01/2004,
0000002434-0001-5,ARMEN SAHAKYAN,,1575 E IMPERIAL HIGHWAY,LOS ANGELES,90059-,1575 IMPERIAL 90059,,,,,,0,01/11/2000,12/31/2001,
0000002449-0001-1,SEVASTIAN SAUCEDO,,4501 S ALAMEDA STREET #103,LOS ANGELES,90058-,4501 ALAMEDA 90058,,,,,,0,01/11/2000,12/31/2001,
0000002451-0001-9,ANSELMO M ALLIEGRO MD INC,,1155 N VERMONT AVENUE #203,LOS ANGELES,90029-,1155 VERMONT 90029,,,,,,13,01/01/2000,12/31/2000,
0000002461-0001-2,RICHARD D STUBBLEFIELD,,17210 RAYEN STREET,NORTHRIDGE,91325-2919,17210 RAYEN 91325-2919,,,,,,12,01/01/1999,01/01/2008,
0000002518-0001-4,MILES A LABAT,,1086 S FAIRFAX AVENUE,LOS ANGELES,90019-,1086 FAIRFAX 90019,,,,,,10,02/01/2000,12/31/2000,
0000002558-0001-9,GRICELDA CHAVEZ,GUERRERO'S MEAT MARKET,5541 YORK BLVD,LOS ANGELES,90042-2403,5541 YORK 90042-2403,,,,,,14,01/17/2000,12/31/2007,
0000002574-0001-8,YONG HWAN CHOE,,704 S SPRING STREET #1005,LOS ANGELES,90014-,704 SPRING 90014,,,,,,14,01/11/2000,12/31/2001,
0000132471-0001-1,NANCY KOVAL,,489 WAITE ROAD,REXFORD,12148-,489 WAITE 12148,,,,,,0,10/27/2000,08/12/2003,
0000002608-0001-9,VUKOSAVA I BACKIC DDS,,9118 S BROADWAY,LOS ANGELES,90003-4040,9118 BROADWAY 90003-4040,,,,,,8,06/15/2003,12/31/2008,
0000002635-0001-6,BI BIANA LONDONO,,123 E ANAHEIM STREET,WILMINGTON,90744-,123 ANAHEIM 90744,,,,,,15,05/16/2003,07/11/2003,
0000002663-0001-8,"J & R CONCRETE PRODUCTS, INC",,440 W MARKHAM STREET,PERRIS,92571-8138,440 MARKHAM 92571,,,,,,0,07/01/1992,12/31/2011,
0000002677-0001-0,ALFONSO CUEVAS,,592 W 2ND STREET,SAN PEDRO,90731-2502,592 2ND 90731-2502,,,,,,15,05/19/2003,12/31/2011,
0000002750-0001-9,LISA HOLGUIN,,1621 W 25TH STREET UNIT #266,SAN PEDRO,90732-4301,1621 25TH 90732-4301,,,,,,15,01/18/2006,03/01/2008,
0000002832-0001-9,MEIDU USA INC,,780 N EUCLID STREET #213,ANAHEIM,92801-,780 EUCLID 92801,,,,,,0,01/20/2000,12/31/2000,
0000002934-0001-6,PASBRO TOOL/MFG CO INC,,2750 G STREET #A,MERCED,95340-,2750 G 95340,,,,,,0,05/01/1974,12/31/1999,
0000002946-0001-9,UNIVERSAL FIGHTING ARTS ORGANIZATION / C,,11740 WILSHIRE BLVD #A2207,LOS ANGELES,90025-,11740 WILSHIRE 90025,,,,,,11,09/04/1998,09/01/2001,
0000002998-0001-6,NEWPORT HARBOR MARINE CO /C,,879 W 16TH STREET,NEWPORT BEACH,92663-,879 16TH 92663,,,,,,0,02/12/2000,02/20/2000,
0003215076-0001-9,CARMEN KITZE CONSTANTE LIZAOLA,NICKTE PLATA MEXICANA,15596 OLDEN STREET,SYLMAR,91342-1242,15596 Olden 91342-1242,,,,423940,"Jewelry, watch, precious stone, & precious metals",7,10/01/2020,,"(34.3195, -118.4712)"
0000003088-0001-6,MARC ROVETTO,,1420 SAMP LANE,PLACENTIA,92870-8411,1420 SAMP 92870-8411,,,,,,0,12/21/1999,11/01/2004,
0000003096-0001-1,ROGER D LOOMIS JR,,727 W 7TH STREET #530,LOS ANGELES,90017-,727 7TH 90017,,,,,,0,01/03/2000,12/01/2003,
0000003140-0001-3,LIVON INTL INC,,224 E 6TH STREET,LOS ANGELES,90014-,224 6TH 90014,,,,,,0,02/01/1992,12/31/1996,
0000003158-0001-3,ROBERT KAVANAUGH,,412 GREY HAWK LANE,SEQUIM,98382-,412 GREY HAWK 98382,,,,,,0,03/01/1998,12/31/2001,
0000003164-0001-9,JAMES H SCHMIDT/GARY FLIETSTRA,,17307 FLALLON AVENUE,ARTESIA,90701-,17307 FLALLON 90701,,,,,,0,06/16/2003,11/01/2004,
0000003186-0001-5,NING LIN,,7426 3/4 ARIZONA AVENUE,LOS ANGELES,90045-1369,7426 ARIZONA 90045-1369,,,,,,11,08/01/2003,12/28/2004,
0000003251-0001-0,JEAN-LOUIS RAMIREZ,,168 N MANSFIELD AVENUE,LOS ANGELES,90036-,168 MANSFIELD 90036,,,,,,0,01/18/2000,12/31/2002,
0000003300-0001-5,GO2NET INC,,5670 WILSHIRE BLVD #2170,LOS ANGELES,90036-5679,5670 WILSHIRE 90036,,,,,,4,03/04/1999,11/22/2000,
0000003306-0001-2,ADELA RIVERA,,822 MARINE AVENUE #22,WILMINGTON,90744-,822 MARINE 90744,,,,,,15,07/06/2003,08/18/2004,
0000003313-0001-2,PENSION SERVICE ASSOCIATES SECURITIES,,269 S BEVERLY DRIVE #514,BEVERLY HILLS,90212-3851,269 BEVERLY 90212-3851,,,,,,0,01/01/2000,12/31/2003,
0000003317-0001-1,ELIE ZAAROUR,,530 S GAFFEY STREET,SAN PEDRO,90731-,530 GAFFEY 90731,,,,,,15,08/01/2003,04/01/2004,
0000003346-0001-7,JULIE A CHANDLER,,3450 OCEAN VIEW BLVD #A,GLENDALE,91208-,3450 OCEAN VIEW 91208,,,,,,0,02/01/2000,01/07/2002,
0000003378-0001-7,ROTEK INC,,1400 S CHILLICOTHE,AURORA,44202-,1400 CHILLICOTHE 44202,,,,,,0,01/14/2000,06/10/2003,
0000003431-0001-9,CHIPILITOS CHILIS INC,,1527 E 48TH STREET,LOS ANGELES,90011-,1527 48TH 90011,,,,,,0,06/01/2000,12/31/2000,
0000003437-0001-6,CLAUDE PHILLIPS ENTERPRISES INC,,16129 RUNNYMEDE STREET,VAN NUYS,91406-2913,16129 RUNNYMEDE 91406-2913,,,,,,6,10/01/1974,12/03/2013,
0000003447-0001-0,RODNEY A LANGENBERGER,,12061 LOPEZ CANYON ROAD,LAKEVIEW TE,91342-,12061 LOPEZ CANYON 91342,,,,,,0,01/17/2000,12/31/2000,
0000003452-0001-1,E-STANDARD INC,,4221 REDWOOD AVENUE,LOS ANGELES,90066-,4221 REDWOOD 90066,,,,,,11,01/04/2000,12/31/2001,
0003211634-0001-5,TIFFANE SCHULTZ,PINK PRISON BAKESHOP,10655 BLOOMFIELD STREET,NORTH HOLLYWOOD,91602-2792,10655 Bloomfield 91602-2792,,,,311800,Bakeries & tortilla mfg.,2,09/15/2020,,"(34.1498, -118.3633)"
0000003478-0001-5,ALL PRO COMMUNICATION TECHNOLOGIES INC,,2401 PINE STREET,POMONA,91767-2179,2401 PINE 91767-2179,,,,235310,Electrical Contractors (1997 NAICS),0,07/01/1999,,"(34.0907, -117.7498)"
0000003505-0001-4,DENNIS/JEAN BENEDETTI,,1611 W 12TH STREET,LOS ANGELES,90015-,1611 12TH 90015,,,,,,0,04/05/1991,12/31/2002,
0000003507-0001-3,FRED W/ERNIE/ETLEEN HELLMER,,17730 POSETANO ROAD,PCFIC PALSADS,90272-,17730 POSETANO 90272,,,,,,11,01/01/1983,12/31/1995,
0000003549-0001-7,ADVANCED VISION CORRECTION CENTERS /C,,201 S ALVARADO STREET #717,LOS ANGELES,90057-,201 ALVARADO 90057,,,,,,13,10/02/1999,09/15/2000,
0000003598-0001-1,THAI HENG SALES INC,,1329 E 3RD STREET,LOS ANGELES,90033-,1329 3RD 90033,,,,,,14,01/01/1999,10/31/2001,
0000003666-0001-9,RHONDA TURLEY-JOHNSON,,3606 KALSMAN DRIVE #4,LOS ANGELES,90016-,3606 KALSMAN 90016,,,,,,10,06/02/2003,11/02/2003,
0000003713-0001-5,JOHN E GARDINER,,3500 W JEFFERSON BLVD,LOS ANGELES,90018-,3500 JEFFERSON 90018,,,,,,10,12/01/1949,12/31/1998,
0000003752-0001-5,SIMON GEVURTZ,,13206 FIJI WAY #J,MARINA DL REY,90292-,13206 FIJI 90292,,,,,,11,10/01/1974,12/31/2002,
0000003755-0001-9,GLENN HORIUCHI,,2004 APEX AVENUE #7,LOS ANGELES,90039-,2004 APEX 90039,,,,,,13,01/14/1992,08/30/1993,
0002487583-0001-5,YU-TSUI FONG,,9915 VARIEL AVENUE UNIT #23,CHATSWORTH,91311-6729,9915 VARIEL 91311-6729,,,,,,12,01/05/2009,12/31/2024,
0000003756-0001-3,SCHMIDT ENGINEERING AND EQUIPMENT COMPANY INC,,1905 S MOORLAND ROAD,NEW BERLIN,53151-,1905 MOORLAND 53151,,,,,,0,01/31/1992,08/30/1993,
0000003769-0001-1,GLENN MARKETING INC,,2449 2ND STREET,NAPA,94557-,2449 2ND 94557,,,,,,0,01/13/1992,08/26/2000,
0000003777-0001-5,DON DYKES,,12622 RUSH STREET,S EL MONTE,91733-,12622 RUSH 91733,,,,,,0,10/31/1991,09/01/1994,
0003247396-0001-4,JOSE MATA,,1629 LEIGHTON AVENUE,LOS ANGELES,90062-1310,1629 LEIGHTON 90062-1310,,,,812990,All other personal services,8,01/01/2016,,"(34.0129, -118.3096)"
0000003888-0001-1,CORNING INC,,HP ST 2,CORNING,14831-,HP ST 2 14831,,,,,,0,03/17/1992,06/30/1993,
0000003907-0001-6,WOODSON-TENENT LABORATORIES INC,,1331 UNION AVENUE #1500,MEMPHIS,38104-,1331 UNION 38104,,,,,,0,03/23/1992,08/28/1999,
0000003913-0001-1,HOWARD JON TAKEUCHI,,3797 DEGNAN BLVD,LOS ANGELES,90018-,3797 DEGNAN 90018,,,,,,0,09/20/1988,12/31/1996,
0000003945-0001-1,KRB INC,,291 NEEDLES TRAIL,LONGWOOD,32779-,291 NEEDLES 32779,,,,,,0,04/20/1992,08/23/2003,
0000003955-0001-5,STEPHEN L DENNIS,,848 ALANDELE AVENUE,LOS ANGELES,90036-,848 ALANDELE 90036,,,,,,0,01/17/1992,12/29/2000,
0000003985-0001-6,"FUTURE COMMUNICATION, INC",,2970 W OLYMPIC BLVD #E,LOS ANGELES,90006-,2970 OLYMPIC 90006,,,,,,10,01/01/1999,12/24/2002,
0000003989-0001-4,BAHMAN KHAKSAR,,240 W 18TH STREET,LOS ANGELES,90015-,240 18TH 90015,,,,,,0,05/21/1999,12/31/2000,
0000003995-0001-0,EVELYN FLEISHMAN TRUSTEE OF THE LOEB FAMILY TRUST,,5285 CARMENTO DRIVE,OAK PARK,91377-4858,5285 CARMENTO 91377-4858,,,,,,0,01/01/2000,12/23/2012,
0000004010-0001-1,ROBERT H HURST,,6020 WEST BLVD,LOS ANGELES,90043-3802,6020 WEST 90043-3802,,,,,,8,08/02/1999,02/11/2011,
0000004046-0001-0,CHEONG HEON LEE,,223 W 6TH STREET,LOS ANGELES,90014-1801,223 6TH 90014-1801,,,,,,14,07/21/1999,01/01/2007,
0000004053-0001-0,JILL SOTONIA HARDIN,,6920 KITTYHAWK AVENUE,LOS ANGELES,90045-2102,6920 KITTYHAWK 90045-2102,,,,,,11,04/29/2005,12/31/2010,
0000004059-0001-7,DIANA KIM,,4363 W 3RD STREET,LOS ANGELES,90020-,4363 3RD 90020,,,,,,0,03/01/1992,12/31/1997,
0000004103-0001-0,ELIAS RASHTIZADEH,,904 N VERMONT AVENUE,LOS ANGELES,90029-,904 VERMONT 90029,,,,,,13,07/01/1991,10/10/1999,
0000004107-0001-8,ARTHUR WALSTINE/GERSON PEREZ,,2727 BROOKFIELD PLACE,WEST COVINA,91792-1912,2727 BROOKFIELD 91792-1912,,,,,,0,06/10/2003,11/01/2004,"(34.0231, -117.9104)"
0000004116-0001-7,PETE HOFFMAN,,8129 ZITOLA TERRACE,PLAYA DEL RY,90293-,8129 ZITOLA 90293,,,,,,11,07/01/2003,12/31/2003,
0000004119-0001-1,HEATWAVE PRODUCTIONS INC,,11022 SANTA MONICA BLVD #440,LOS ANGELES,90025-7566,11022 SANTA MONICA 90025-7566,,,,,,5,10/01/1999,12/01/2001,"(34.0481, -118.4419)"
0000004139-0001-8,GLENN B KARTER,,7831 DENISE CIRCLE,LA PALMA,90623-1611,7831 DENISE 90623-1611,,,,,,0,01/01/2000,06/30/2008,
0000004164-0001-6,RONALD EUGENE JOHNSON JR,,4700 CLAIR DEL AVENUE APT #647,LONG BEACH,90807-5764,4700 CLAIR DEL 90807-5764,,,,,,0,07/01/2003,09/12/2008,
0000004479-0001-7,MANUEL RODRIGUEZ,,7011 STEWART AND GRAY ROAD,DOWNEY,90241-,7011 STEWART AND GRAY 90241,,,,,,0,06/19/1985,12/31/1995,
0000004498-0001-0,YURI GALIN/MARK BONYAK,,7215 ROSEMEAD BLVD,SAN GABRIEL,91775-,7215 ROSEMEAD 91775,,,,,,0,02/01/1992,12/31/1996,
0000004511-0001-7,HOA KIM HUYNH,,21115 VICTORY BLVD,CANOGA PARK,91303-,21115 VICTORY 91303,,,,,,0,01/01/2000,12/31/2000,
0000004528-0001-2,COROMETRICS MEDICAL SYSTEMS INC,,3000 DOW AVENUE #402,TUSTIN,92780-,3000 DOW 92780,,,,,,0,09/01/1974,12/31/1994,
0000004552-0001-6,TOMMIE M TURVEY,,8640 WINNETKA AVENUE,CANOGA PARK,91306-,8640 WINNETKA 91306,,,,,,12,01/01/2000,12/31/2001,
0000004582-0003-3,ALCAL SPECIALTY CONTRACTING INC,,632 AERO WAY,ESCONDIDO,92029-1201,632 AERO 92029-1201,,,,,,0,06/18/2003,12/31/2009,
0000004589-0001-9,TIMOTHY W MURRAY,,2 VIA VETTI,LAGUNA NIGUEL,92677-,2 VIA VETTI 92677,,,,,,0,08/15/1994,12/31/1994,
0000004599-0001-2,CARPETERIA INC,,680 S LA BREA AVENUE,LOS ANGELES,90036-,680 LA BREA 90036,,,,,,0,11/01/1973,12/31/1999,
0000004606-0001-4,NSHAN DEMIRCHYAN,,1918 DRACENA DRIVE,LOS ANGELES,90027-,1918 DRACENA 90027,,,,,,0,02/25/2000,12/31/2000,
0000004619-0001-1,PAUL T IKUTA ET AL,,12472 CHRISTY LANE,LOS ALAMITOS,90720-,12472 CHRISTY 90720,,,,,,0,12/01/1949,06/01/2000,
0000004653-0001-9,ANA L CARRANZA,,139 N PACIFIC AVENUE,SAN PEDRO,90731-,139 PACIFIC 90731,,,,,,15,06/20/2003,06/30/2004,
0000004746-0001-7,G LESSER JEWELERS INC,G LESSER JEWELERS,11860 1/2 BALBOA BLVD,GRANADA HILLS,91344-2763,11860 BALBOA 91344-2763,,,,,,12,01/01/1974,12/31/2004,
0000004779-0001-1,MARSHALL R URIST MD,,1033 GAYLEY AVENUE #104,LOS ANGELES,90024-,1033 GAYLEY 90024,,,,,,0,08/09/1985,07/31/2000,
0000004791-0001-2,ABU TURAB TRADING CORP,,14059 OXNARD STREET,VAN NUYS,91401-3807,14059 OXNARD 91401-3807,,,,,,2,04/15/2000,12/31/2003,
0000004817-0001-9,ROSI COMPANY INC,,22848 S WESTERN AVENUE,TORRANCE,90501-5110,22848 WESTERN 90501-5110,,,,,,15,06/01/2003,12/31/2013,
0000004873-0005-5,L & R AUTO PARKS INC,,1212 S FLOWER STREET,LOS ANGELES,90015-2178,1212 FLOWER 90015-2178,,,,,,14,08/01/2013,10/01/2016,
0000004873-0019-5,L & R AUTO PARKS INC,,416 W 8TH STREET,LOS ANGELES,90014-3002,416 8TH 90014-3002,,,,,,14,02/01/2017,07/01/2018,
0000004874-0001-7,KRONG CONSTRUCTION INC,,125 N EUCLID STREET,FULLERTON,92832-1618,125 EUCLID 92832-1618,,,,,,0,10/01/1974,12/31/2005,
0000004949-0001-7,MIGUEL ALBERTO ZELIDON,,676 W SEPULVEDA STREET,SAN PEDRO,90731-2030,676 SEPULVEDA 90731-2030,,,,,,15,01/01/2000,01/31/2005,
0000005204-0001-0,PHIL HA SHIM,,4221 WILSHIRE BLVD #311,LOS ANGELES,90010-,4221 WILSHIRE 90010,,,,,,0,02/01/1992,12/31/1996,
0000005232-0001-1,ANN POPE STONE,,2337 GLENDON AVENUE,LOS ANGELES,90064-2203,2337 GLENDON 90064-2203,,,,,,5,02/01/2000,12/20/2009,
0000005274-0001-5,SILTON INFORMATION SYSTEMS INC,,4219 S ALAMEDA STREET,LOS ANGELES,90058-,4219 ALAMEDA 90058,,,,,,0,01/01/1992,03/01/1999,
0000005358-0001-4,JUAN MANDUJANO DIAZ,,1355 S HOPE STREET #212,LOS ANGELES,90015-,1355 HOPE 90015,,,,,,0,05/15/2003,04/07/2004,
0000005400-0001-8,RUDY GOVEA,,1400 E 83RD STREET,LOS ANGELES,90001-3822,1400 83RD 90001-3822,,,,,,0,05/13/2003,12/31/2008,
0000005407-0050-8,AUTOMATE PARKING INC,,526 MAPLE AVENUE,LOS ANGELES,90013-1535,526 MAPLE 90013-1535,,,,,,14,06/01/2006,12/31/2010,
0000005447-0001-4,FRANCISCO MELCHOR,,815 S HILL STREET #55,LOS ANGELES,90014-,815 HILL 90014,,,,,,0,05/23/2003,10/31/2003,
0000005464-0001-8,JUANA GONZALEZ,,3052 1/2 E 4TH STREET,LOS ANGELES,90063-3102,3052 4TH 90063-3102,,,,,,14,01/12/2004,12/31/2005,
0000005490-0001-1,JOE ZORRILLA,,1734 PACIFIC COAST HIGHWAY,LOMITA,90717-2720,1734 PACIFIC COAST 90717-2720,,,,,,15,02/01/1992,11/01/2005,
0000005523-0001-7,ARTISAN TOO LACE & TRIM,,13015 RIMROCK AVENUE,CHINO HILLS,91709-1034,13015 RIMROCK 91709-1034,,,,,,0,07/01/2003,12/31/2011,
0000005625-0001-4,ROY & DOTS TRUCK SPECIALITIES INC,,825 S MAPLE AVENUE,MONTEBELLO,90640-,825 MAPLE 90640,,,,,,0,01/01/1992,12/31/1996,
0000005657-0001-4,DATACCOUNT CORP,,19320 VAN NESS AVENUE,TORRANCE,90501-,19320 VAN NESS 90501,,,,,,0,08/19/1985,03/01/1998,
0000005671-0001-4,WATER PLUS,,1119 N WESTERN AVENUE #D,LOS ANGELES,90029-1070,1119 WESTERN 90029-1070,,,,,,13,01/01/2003,12/31/2006,
0000005726-0001-7,PAUL KAHNG,,3407 W 6TH STREET #711 A,LOS ANGELES,90020-2537,3407 6TH 90020-2537,,,,,,4,03/24/2003,12/31/2004,
0000005744-0001-5,MCVICTORY NGO,,10929 KITTRIDGE STREET,N HOLLYWOOD,91606-,10929 KITTRIDGE 91606,,,,,,0,11/16/1991,12/31/1995,
0000005753-0001-4,ASSOCIATES IN MARKETING INC,,8941 DARBY AVENUE,NORTHRIDGE,91325-,8941 DARBY 91325,,,,,,12,02/01/1992,12/31/1996,
0000005794-0001-3,SARKIS ALAMIAN/GAGIK GEVORKIAN,,2238 BARTON LANE #6,MONTROSE,91020-,2238 BARTON 91020,,,,,,0,02/28/1992,12/31/1997,
0002661174-0001-8,EVA LANDIS,,110 E 22ND STREET UNIT #A189,SAN PEDRO,90731-7202,110 22ND 90731-7202,,,,,,15,11/01/2012,08/15/2019,
0000005810-0001-4,BEATRIZ AQUINO/MARIA LARIOS,,345 4TH AVENUE,LOS ANGELES,90291-,345 4TH 90291,,,,,,11,05/23/2003,09/29/2003,
0000005835-0001-4,GENE J BOROWSKI/PEGGY N YESSAYAN,,4340 FULTON AVENUE,SHERMAN OAKS,91423-,4340 FULTON 91423,,,,,,0,03/20/2000,12/31/2000,
0000005859-0001-0,GERTRUDE U IHENACHOR,,825 W GARDENA BLVD,GARDENA,90247-4903,825 GARDENA 90247-4903,,,,,,15,09/20/2004,12/31/2004,
0000005912-0001-1,ARMANDO ESTRADA,,16000 SHERMAN WAY #207,VAN NUYS,91406-4056,16000 SHERMAN 91406-4056,,,,,,6,03/24/2000,09/30/2001,
0000005923-0001-0,BUZZ LAWRENCE,,7000 HOLLYWOOD BLVD #5,HOLLYWOOD,90028-,7000 HOLLYWOOD 90028,,,,,,13,01/01/1975,12/31/1996,
0000006060-0001-4,FEROZ S BAIG,,6736 CORBIN AVENUE,RESEDA,91335-,6736 CORBIN 91335,,,,,,0,02/09/2000,12/31/2001,
0000006094-0001-3,JOSE FLORES,,1133 ELM AVENUE #A,GLENDALE,91201-4326,1133 ELM 91201,,,,,,0,03/08/2000,12/31/2000,
0000006099-0001-6,NATIONWIDE INTERNET SERVICES INC,,3600 WILSHIRE BLVD #834,LOS ANGELES,90010-,3600 WILSHIRE 90010,,,,,,10,03/01/2000,12/31/2001,
0000006110-0001-4,CYRUS M GULLEKSON,,12741 GAULT STREET,N HOLLYWOOD,91605-,12741 GAULT 91605,,,,,,0,03/01/1992,03/30/1998,
0000006116-0001-1,FREDRICK R HARTENDORP,,1934 1/2 ELLENDALE PLACE,LOS ANGELES,90007-,1934 ELLENDALE 90007,,,,,,0,03/08/2000,12/31/2002,
0000006130-0001-1,MICHAEL MOCCIA,,5737 KANAN ROAD #300,AGOURA HILLS,91301-,5737 KANAN 91301,,,,,,0,03/01/1992,12/31/1993,
0000006147-0001-7,U R ENTERTAINMENT /C,,8322 BEVERLY BLVD #202,LOS ANGELES,90048-,8322 BEVERLY 90048,,,,,,0,01/01/2000,12/31/2000,
0000006151-0001-3,SUN SOOK KIM,,1600 W SLAUSON AVENUE #I 31,LOS ANGELES,90047-1117,1600 SLAUSON 90047,,,,,,8,04/17/2003,12/31/2004,
0000006173-0001-0,RUSSELL W ROJAM,,43983 15TH STREET W #158,LANCASTER,93534-,43983 15TH 93534,,,,,,0,05/20/1998,11/01/2004,
0000006248-0001-0,MARIA DE JESUS ROJAS/ROSA MARIA PENA,,1908 E 4TH STREET,LOS ANGELES,90033-3809,1908 4TH 90033-3809,,,,,,14,05/30/2003,12/31/2003,
0000006288-0002-2,CARLOS ANTONIO MONTOYA MEJIA,,1905 S WESTERN AVENUE ROOM #9,LOS ANGELES,90018-1563,1905 WESTERN 90018-1563,,,,,,10,01/01/2006,08/18/2009,
0000006297-0001-3,HARRY MOON,,1715 259TH STREET #10,LOMITA,90717-3355,1715 259TH 90717-3355,,,,,,15,09/08/2004,03/15/2005,
0000006435-0001-9,OLD MISSION PLASTERING INC,,16148 OLD VALLEY BLVD,LA PUENTE,91744-5430,16148 OLD VALLEY 91744-5430,,,,,,0,05/01/2003,11/01/2004,
0000006448-0001-6,JEFFREY L STROMBERG,,1029 S POINT VIEW STREET,LOS ANGELES,90035-,1029 POINT VIEW 90035,,,,,,0,03/01/1992,12/31/1995,
0000006523-0001-4,STANLEY Z ROPE,,15768 MIDWOOD DRIVE,GRANADA HILLS,91344-,15768 MIDWOOD 91344,,,,,,12,03/06/1992,07/01/1998,
0000006534-0001-2,LUIS H SALAZAR/DANIEL DALE SMITH,,14510 FRIAR STREET,VAN NUYS,91411-,14510 FRIAR 91411,,,,,,0,03/11/1992,12/09/2002,
0000006621-0001-3,SARAY CHINCHILLA,,616 E 88TH PLACE,LOS ANGELES,90002-1022,616 88TH 90002-1022,,,,,,9,03/23/2003,12/31/2011,
0000006643-0001-0,KNITER DENTAL CORP,,8182 W SUNSET BLVD #202,LOS ANGELES,90046-,8182 SUNSET 90046,,,,,,0,04/01/1991,12/31/2001,
0000006648-0001-2,J C J ENTERPRISES INC ET AL,,11500 W OLYMPIC BLVD #505,LOS ANGELES,90064-,11500 OLYMPIC 90064,,,,,,11,04/09/1998,03/31/2000,
0000006710-0001-3,GLOBE KEY INC,,3474 E 1ST STREET #104,LOS ANGELES,90063-2946,3474 1ST 90063-2946,,,,,,14,05/01/2003,12/31/2003,
0000006725-0001-0,MATIAS PASCUAL,,2012 2ND AVENUE,LOS ANGELES,90018-1206,2012 2ND 90018,,,,,,10,01/13/1996,12/31/2008,
0000006734-0001-9,FRIENDS OF JAPAN /C,,1469 S NORTON AVENUE,LOS ANGELES,90019-4334,1469 NORTON 90019-4334,,,,561300,Employment services,10,01/01/1989,,
0000006746-0001-1,FRANCIS J BENTON,,9240 SOPHIA AVENUE,NORTH HILLS,91343-,9240 SOPHIA 91343,,,,,,12,03/01/1974,12/31/1998,
0000006750-0001-8,N R I INC,,110 E 9TH STREET #C367,LOS ANGELES,90079-,110 9TH 90079,,,,,,14,09/01/1974,12/31/1998,
0000006762-0001-1,CARLOTA FIERRO REYES,,2130 S DUNSMUIR AVENUE,LOS ANGELES,90016-,2130 DUNSMUIR 90016,,,,,,10,05/10/2003,02/02/2004,
0000006783-0001-2,BETTY J WILLIAMS/DOROTHY JONES ET AL,,1618 HAUSER BLVD,LOS ANGELES,90019-3971,1618 HAUSER 90019-3971,,,,,,10,01/21/1992,12/31/2013,
0000006792-0001-1,THE EDUCARE FOUNDATION /C,,26500 AGOURA ROAD #549,CALABASAS,91302-1952,26500 AGOURA 91302,,,,,,0,09/09/1991,12/31/2001,
0000006799-0001-3,JOHN C H TSENG / AMY A L TSENG,CHINESE GATE RESTAURANT,4121 W OLYMPIC BLVD #23,LOS ANGELES,90019-1942,4121 OLYMPIC 90019-1942,,,,,,10,05/01/2003,12/31/2008,
0000006828-0001-1,CARLOS CRUDO,,1625 W OLYMPIC BLVD #706,LOS ANGELES,90015-,1625 OLYMPIC 90015,,,,,,0,01/01/2000,06/12/2000,
0000006882-0001-6,WAN S SIM,,340 S KENMORE AVENUE #205,LOS ANGELES,90020-,340 KENMORE 90020,,,,,,0,05/29/1999,12/31/2002,
0000006963-0001-1,STAIKO/GHINICA STAEV,,13413 LOCHRIN LANE,SYLMAR,91342-,13413 LOCHRIN 91342,,,,,,0,01/07/1992,12/31/1995,
0000006984-0001-3,ISLIAN ISMERY J VELIZ,BACK TO EDEN,5918 YORK BLVD,LOS ANGELES,90042-2638,5918 YORK 90042-2638,,,,,,14,06/01/2003,01/01/2007,
0000007031-0001-5,RANDALL K GRIMSLEY,,2816 GALENA AVENUE,SIMI VALLEY,93065-2712,2816 GALENA 93065,,,,,,0,09/08/2004,11/01/2004,
0000007037-0001-2,LOUIS W ROGERS,,2207 W 21ST STREET,LOS ANGELES,90018-1326,2207 21ST 90018-1326,,,,,,10,02/02/1992,12/01/2009,
